address,name_tag,label
0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,Nanopool,"Accounts,Mining"
0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,Ethpool 2,"Accounts,Mining"
0x363398e61289f689a71208560366a1bbbda005db,ml_transit_12,heist
0xea674fdde714fd979de3edf0f56aa9716b898ec8,Ethermine,"Accounts,Mining"
0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,ShapeShift 3,exchange
0x3befa5405d1b30bc501917b20cf6ded40a91121a,,
0xc003095f737007d07ee9446e12ebbcf94a62318f,ml_transit_12,heist
0x304cc179719bc5b05418d6f7f6783abe45d83090,,
0x69d291ce850b71fb9288460acfa03cfb522613a3,ml_transit_12,heist
0xafbedba505d702c380148fafe92cd593c7e2d9f0,,
0xc75014ef979c15a4603b43708fa5dd49923601f2,ml_transit_12,heist
0xd94c9ff168dc6aebf9b6cc86deff54f3fb0afc33,Yunbi 1,exchange
0xb4562ffd2eb7234c512b892b395daa72cf0a43ea,,
0x167a9333bf582556f35bd4d16a7e80e191aa6476,Coinone,exchange
0x30d56d9d75bbe8badea6e391894e3a486d96d91e,ml_transit_12,heist
0x1fd6267f0d86f62d88172b998390afee2a1f54b6,Exmo 1,exchange
0xd24400ae8bfebb18ca49be86258a3c749cf46853,Gemini,exchange
0x96bff4e808bfbdb6b4381460bee90d67cc33bdbe,ml_transit_12,heist
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,Kraken 4,exchange
0x4b0cdc06bc7ac146aa91977d95784a591399adfe,,
0xe86be26717650a2201834564cbea771cca0cc7ff,,
0x2c7493eb9e275fdf0f6673cf0a7a3574bbae694d,ml_transit_12,heist
0x9d2f438e6b6d5da6ccb5a60fdb72629c903372a6,ml_transit_12,heist
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,Bittrex,exchange
0x32be343b94f860124dc4fee278fdcbd38c102d88,Poloniex,exchange
0x0fdf6c80ed447a4b0692af53a1acbb7df7bf983d,,
0x389e2c5b6c655b00e553154a64ca95fd76a0a0b6,ml_transit_11,heist
0xeae2b77dbe8c7705128dd2d4ea7284052d761f92,,
0x23f7330d6d29d8a9ea3e6b2f3f379e56f6f8fbf3,,
0x885a742719faf7ecc5670b16420a9487e9fbf625,,
0xb93efd0e79b769d2b3df7aa64d89f983d2fd02fc,ml_transit_12,heist
0xd3273eba07248020bf98a8b560ec1576a612102f,ShapeShift 5,exchange
0x7452a6f6b04e2ba6ff56a90392c747ba8127c5e3,ml_transit_12,heist
0xa36ae0f959046a18d109dc5b1fb8df655cf0aa81,,
0xd34da389374caad1a048fbdc4569aae33fd5a375,Genesis Mining,"Accounts,Mining"
0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,,
0x861035347aa5a1eb6cad3135c3021290ac64f541,ml_transit_12,heist
0x563b377a956c80d77a7c613a9343699ad6123911,ShapeShift 4,exchange
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,,
0x05d85c0a87127b385438c1d909eb2206082d5f8a,ml_transit_12,heist
0xe99c05131cb8dffe41a721fb4b3757308ca1369c,,
0xc9ebe68102fafb9c1721fd840c8dfe35a46749e9,ml_transit_12,heist
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,Bitfinex 1,exchange
0xa8abe66d05a27399ca6203615481247f075d5a2d,,
0x4e57e681456a545728e1a31a1530d75319452c2b,,
0xc2be9ad8f32ac2b25ee5ef4fd9d536d71ddd14c2,,
0x485eec0de74e8436e6fce0eaf8a94358cd146043,,
0xe0980f61b8bb28c605c790f5dfd01b9842c3ec73,,
0x62bd1a4ee6506b49717877b3dae3f14799d153c3,,
0x0264909787f464c8152c1390d9b89dbfa30767c1,,
0x6e00b144707c1ebcb5cd82a227703b5b6cebaa44,,
0x87c96084a0d4ae761da4b1786e2c333ba27c68a0,,
0xf433f8347b7ee93c964d87d5023cd4b54abb244f,,
0x8f8c16f94f3fdecaaf66ce4a5b5b14715c4ac579,ml_transit_12,heist
0xb510e7473bfe51f6b18874ef81f92ff83c97fba2,,
0x6da2fbb369fffbd0f649c88d6971074135e1db73,,
0x5b07c11fce07d8aeeddea79c096dce46ce7126ed,ml_transit_11,heist
0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a,,
0x99518e3b6b6acabac9ad2fc26b348ff7d3e9f477,,
0xbdfad48eb587d34d999b3795aa3402065e0f1206,,
0xdc81a35e8181aa18938dac61edacb6c223ffb907,,
0xc60e7e74f12acb98695f37c227725e6366fcac75,,
0x79e357edbb8eb2a166335f1e2833a9dbb9946217,,
0xa23b351fa50098c7da7dd6cf614aa0f205858535,,
0xf077b24af57c847b7321736302c29b1745033f15,,
0xfe92a3cf1843b5ec7ccf27b2ae753fac1289fa9d,,
0xe60b264101f3c1415a28758c0dbf9c10f0344ba5,,
0xb658b605554acf760f3242913bde1bc61af272f1,,
0x386366b3b8042bceec2b0e55e8f61867719d2317,,
0x67d0c7d4737d333b42771b9f0129602251330bd8,,
0xc976895017c81ac926478c26c347bbed202d0508,ml_transit_12,heist
0x454e7ead950bf9ed8ae14ce1c64505265f1db16f,ml_transit_12,heist
0xb3f636cae9e8ad9795d14d3bdda3e382dba47c73,,
0xd56d15dc85f563ee99f9a2f138e856b816fd0b5d,ml_transit_12,heist
0x8db98f07d8bec0038da3d13ed93adcf09316ef66,,
0x323632d993fe227753ab7cc9c14834f60e043abf,,
0x2f798e725334adf9f635b938cdee8a97397d704b,ml_transit_12,heist
0x6f04fa89a8f4c2f75e8b553861e0b68f3d392b42,,
0x3d3f8d12bcf86708cce604ad5aa70842012bcbed,,
0x93e3becb564377f7398e1a2ac67163a029c834d8,,
0xd56b98fe204c467ae2acdd585f19601a9456790e,ml_transit_12,heist
0x1522900b6dafac587d499a862861c0869be6e428,Bitstamp 2,exchange
0x7e7d83672274e6ace5d062eece7a89d7a5870ab3,ml_transit_12,heist
0x0059f98f1f1cbf97c58e92aff907ef7a60c52cd1,,
0xbea2d413e6297a90a0ccef8ef21dc9d409737e86,,
0x40bac1ac94c96e2b2cbe8a7f4b8d17000e0945d1,,
0xe7d04fc4740569b615083e6876e7cc6e7692ac1d,ml_transit_10,heist
0x0b95993a39a363d99280ac950f5e4536ab5c5566,Binance: Contract,"Accounts,Binance"
0x296e781bbb0179b032cbcc31e4b6cdab724b2773,,
0xc3d9c17d7f6988c0fe7ebe929c47efccbd92be13,,
0xabab89a2f4450b37916fa87206c8ec79bdb915d9,ml_transit_12,heist
0x89a11a930b4cc1bb17a646530a05a875a021dffb,,
0x46d8ae125a345078c3a54b90219858a76fd146b9,,
0xeed16856d551569d134530ee3967ec79995e2051,ShapeShift 7,exchange
0x3f4931b6838498cb446dfe61d3b54cbec999d49b,,
0xf25a89aae4b908815673ea3ad3a43bbec894f38a,,
0x437a556207933fe1618b39baf92ed3f81b95cb83,ml_transit_9,heist
0xa0bb4ba19f578a63fa3f67adaf7bbca15ccadc45,,
0x76628150e2995b5b279fc83e0dd5f102a671dd1c,,
0xb2904dc4e04c5a374c1a9f03621bf1789d60336b,,
0x62e6fa06e849ba9e21affa5ebcdb218c32ff3f27,ml_transit_12,heist
0x933716617b5f87aa5f06ca94b0a657002ba95a50,ml_transit_12,heist
0xf7b449b69fdcb2e41ded556aab371f6622e2ff9d,,
0x42f8ceaa89716aa27641b3c7ac6ebbed438dc4d2,,
0xae387273ea18772ab80a7a280210afdeef324a83,,
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,Binance,exchange
0x4a73358c35d6cb4e5fc53ef48ff604597c228f9b,,
0x44d5c324d3643a91884d9830a4cd87f6ba0c1f22,ml_transit_12,heist
0xc2eb10e32a7b04fb0b28a92c28c696bbefa2d264,ml_transit_5,heist
0xcb3a4930836953daa13a205effce0304cb19d077,ml_transit_10,heist
0x8fa97e8fdf6464ef9e3a0b17f0c47e75bffe1a45,,
0x00841c8979eb7283b8959cfd64be7f908aad3510,,
0x2915448d36b25fdf71119ab149717744d4eb5c32,ml_transit_10,heist
0x5e1c0b2d9ca5fb789a2bf90ffac911a780920374,ml_transit_12,heist
0x3eb032bc13deafcd271ac81fee28bc29e894c706,,
0x6edca487052b1a5b63a3d1100775e5388daaf9bc,ml_transit_12,heist
0xb528135a8f1f6e4e2ba93951aca4cdccf0c88494,,
0x1b9c210a364a13d898899b5ce57ea3035993d84f,,
0x36f76ca90a85caa55104e464abaa54b82c93347b,,
0xc1208137769d17eb4457fe3fca708b43a39cdde2,,
0x081068d8216eecbe88936d579ec8ec416cb5300e,,
0xca73c65ac97373c7b1288b9dc183b6c9fb5f8219,,
0x6c5897a1424226afa7d89b505d26615338794dcb,,
0x8271b2e8cbe29396e9563229030c89679b9470db,Liqui.io 1,exchange
0x47590e87b48f49149e8cdb934605617a42c38dcf,,
0x44b9204edfacaa191d7711d9b2f38b0f8cb4957b,,
0x65d20492fcef28fef92bde639c5369dc54c8f87e,,
0x748d0535da59b33f11e4d677f578cedfcbded183,,
0xba8dca4107b964f522c41f773adc6cc94513958d,,
0xdd06015f6d5e76fa6884d993e4d520335994ba73,,
0x29f3975a25f8474687e6bc2a11a9bf587ad439f9,ml_transit_12,heist
0xf881bcb3705926cea9c598ab05a837cf41a833a9,,
0x141928a75d3ab81d76018bd901123a300ad262f8,,
0x6a5308c29e68c4465cf706b1a7ccb2293049fec2,,
0xaefa7c8a99f75f2abfbb813dd8226d5a517125ec,,
0xd801c5f126494decf7dd7815fdfa6c23bbb2c009,,
0x465d72d430f01d7cbbe0714ed8b84269b4010a3b,,
0x163b54151f66a7bc333a1c795535bd8733d338af,,
0x63b5e66e0575de9ebc7e3659561c6dc99125fcde,ml_transit_12,heist
0x948558b9189900e625acf02312a579381b112121,,
0x45d8bae872fe698f84ee413a0436d34a883479d7,,
0xa0fdbaf652942d081cc5ebdf4a2f3315045fd291,,
0xaec39e71866b78a3c81916024ad01ad266180598,ml_transit_11,heist
0xd4f80931036a0221fc0730894319953cdd4e7cce,,
0xf00155cb7dd7af8e90adcc57437a4f50bbc5bcb4,,
0x3abb3e691c689e7864e3aca8f67f772d885d2c39,,
0x00b1e61b175d87cd2824fd6a5cb730da3301f990,ml_transit_12,heist
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,EtherDelta 2,dex
0x85eeb60005d3da5617d089201b5bf08e8000daae,,
0x0fc65d0d6bf3fdd2dd61d5b5e052ee7c36beb008,ml_transit_12,heist
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,Bitfinex 3,exchange
0x014eef20327be488a26979f2fb43a077924d2593,ml_transit_12,heist
0xf6989114b18d4b42c9d986e17d37b8f8de6eb239,,
0x4c34ae54dc716808e94af3d1d638b8ea3a23fa9b,,
0x6a4a361ed1ba08f8394cc03820b421d142ab185e,ml_transit_12,heist
0xb1690c08e213a35ed9bab7b318de14420fb57d8c,CryptoKitties: Sales Auction,"Accounts,CryptoKitties"
0x1d40eb8a6198e458258576bebd322c8195600a58,,
0x2783ebcf1cf18c4a1343316b75206fc69563fab1,,
0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,CoinExchange.io,exchange
0x85fbddb2b87478b7e2fb1a35fd7cb1dc45120f99,,
0xdbd79adb3f2e643bee876d992ede9f77fc8dbaa4,,
0x0cd8a4efdaaaace789981aa5cabe9e671e6dd1f0,,
0xaa445f683f9d42d5b87c8a4cfaa8d324ce1ddb7d,ml_transit_11,heist
0xaeec6f5aca72f3a005af1b3420ab8c8c7009bac8,OTCBTC,exchange
0x0455ea966197a69eccf5fc354b6a7896e0fe38f0,,
0x0d99f2a1815ded213310554ff238eae06d52f246,,
0x8aa7ff93e4062d2954524dabe6a6c07fc42f7076,,
0x22b84d5ffea8b801c0422afe752377a64aa738c2,,
0x45eb5461cd98ecc8208f69e8aa68af72abe86c29,,
0xa30d8157911ef23c46c0eb71889efe6a648a41f7,BigONE,exchange
0xba8f45adb003949bb7b27a86301bc93fbcc08323,,
0x05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,,
0x943a1baf386124eeac93abd925816fa56847b0e8,,
0x014142c5b7e07f786c73d5cba44932e775f0fb13,,
0x0bbd2c7d57a9d1d8a00822522ddf98f62160ba47,ml_transit_8,heist
0xea104dd22c12e4e885601d61f0c8a1a70c91b651,,
0x2a9ca3ef58e0d5353a4f34b3a81c1c3808b8b527,,
0xad1f47cbe62cddd5863cba3533f19bf029a12e64,,
0x6795c7d077624f7f0b07a361865a276d02aa6a26,,
0x0975ca9f986eee35f5cbba2d672ad9bc8d2a0844,,
0x96f68ad7acc9638987b42e96e47e7ccaff1c7ec9,,
0x1be45a0f23213b6acea61e8f69607d492481604a,,
0xc9dd304d2a91db9372b4d7eb61df50abc3c89b85,,
0xfe418dad0167e8fee63ca7e6fbe0a6109a1de289,ml_transit_12,heist
0xa75b052a470f695c725ca1658aaed815669bd9af,ml_transit_11,heist
0x44c3d7139915a4c59eedb565f66202f06a38d670,ml_transit_11,heist
0xa96a9ae18d05b367d615411209a5362e517d2aaf,ml_transit_12,heist
0x8453b292d3fc12271c6dc05f31b430eb76f9b2cf,,
0xb6aac3b56ff818496b747ea57fcbe42a9aae6218,QuadrigaCX 2,"Accounts,Compromised"
0xb171c5dfa367f00518344288cd8c026f8ecdf3cd,,
0x774cfc67bf66675be1667cbc1e1cef50ba059c33,ml_transit_11,heist
